x,[Na_e] = 50mM,[Na_e] = 100mM,[Na_e] = 150mM
-140.082,137.186,78.048,41.482
-140.056,137.199,78.073,41.504
-139.8,137.328,78.315,41.71
-120.14,149.597,97.548,61.421
-120.005,149.714,97.689,61.61
-119.966,149.747,97.73,61.664
-100.147,169.104,122.702,92.613
-100.055,169.183,122.847,92.733
-99.95,169.272,123.014,92.87
-79.928,182.419,155.285,115.92
-79.778,182.514,155.472,116.153
-79.777,182.514,155.472,116.154
-59.965,197.474,172.114,155.912
-59.933,197.501,172.141,155.976
-59.683,197.712,172.355,156.478
-39.615,211.926,192.32,189.247
-39.343,212.026,192.559,189.622
-39.251,212.059,192.638,189.748
-19.054,214.782,205.87,214.831
-18.819,214.846,206.01,215.089
-18.814,214.847,206.013,215.094
1.028,222.991,216.941,231.915
1.059,222.998,216.953,231.931
1.184,223.023,216.997,231.996
20.84,220.656,221.741,240.131
21.099,220.608,221.832,240.279
21.243,220.581,221.883,240.362
41.11,219.507,227.794,253.901
41.143,219.508,227.789,253.917
41.401,219.516,227.744,254.034
61.105,220.802,213.804,255.842
61.429,220.828,213.489,255.814
61.638,220.846,213.286,255.796
